"Name","Status"
"AarSvc_124ad5f4","Stopped"
"ADPSvc","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Running"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Running"
"ApxSvc","Stopped"
"ArmouryCrateDownloadTool","Stopped"
"ArmouryCrateService","Running"
"asComSvc","Running"
"AssignedAccessManagerSvc","Stopped"
"asus","Stopped"
"AsusCertService","Running"
"AsusFanControlService","Running"
"asusm","Stopped"
"AsusUpdateCheck","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"battlenet_helpersvc","Stopped"
"BcastDVRUserService_124ad5f4","StopPending"
"BDESVC","Stopped"
"BFE","Running"
"BITS","Stopped"
"BluetoothUserService_124ad5f4","Stopped"
"BrokerInfrastructure","Running"
"BTAGService","Stopped"
"BthAvctpSvc","Stopped"
"bthserv","Running"
"camsvc","Running"
"CaptureService_124ad5f4","Stopped"
"cbdhsvc_124ad5f4","Running"
"CDPSvc","Running"
"CDPUserSvc_124ad5f4","Running"
"CertPropSvc","Stopped"
"ClickToRunSvc","Running"
"ClipSVC","Stopped"
"CloudBackupRestoreSvc_124ad5f4","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Running"
"ConsentUxUserSvc_124ad5f4","Stopped"
"CoreMessagingRegistrar","Running"
"CredentialEnrollmentManagerUserSvc_124ad5f4","Stopped"
"CryptSvc","Running"
"CscService","Stopped"
"DcomLaunch","Running"
"dcsvc","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_124ad5f4","Stopped"
"DeviceAssociationService","Running"
"DeviceInstall","Running"
"DevicePickerUserSvc_124ad5f4","Stopped"
"DevicesFlowUserSvc_124ad5f4","Running"
"DevQueryBroker","Running"
"Dhcp","Running"
"diagsvc","Stopped"
"DiagTrack","Running"
"DialogBlockingService","Stopped"
"Disc Soft Lite Bus Service","Running"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DoSvc","Stopped"
"dot3svc","Stopped"
"DPS","Running"
"DsmSvc","Stopped"
"DsSvc","Running"
"DusmSvc","Running"
"EapHost","Stopped"
"EasyAntiCheat","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EventLog","Running"
"EventSystem","Running"
"fdPHost","Running"
"FDResPub","Running"
"fhsvc","Stopped"
"FileSyncHelper","Running"
"FontCache","Running"
"FontCache3.0.0.0","Stopped"
"FrameServer","Stopped"
"FrameServerMonitor","Stopped"
"Futuremark SystemInfo Service","Stopped"
"FvSvc","Stopped"
"GameInputRedistService","Stopped"
"GameInputSvc","Stopped"
"GameSDK Service","Running"
"GamingServices","Running"
"GamingServicesNet","Running"
"GoogleChromeElevationService","Stopped"
"GoogleUpdaterInternalService144.0.7547.0","Stopped"
"GoogleUpdaterService144.0.7547.0","Stopped"
"gpsvc","Running"
"GraphicsPerfSvc","Stopped"
"gupdate","Stopped"
"gupdatem","Stopped"
"HgClientService","Stopped"
"hidserv","Running"
"HNS","Running"
"hpatchmon","Stopped"
"HPPrintScanDoctorService","Running"
"HvHost","Running"
"icssvc","Stopped"
"IKEEXT","Stopped"
"InstallService","Running"
"Intel(R) Platform License Manager Service","Stopped"
"InventorySvc","Running"
"iphlpsvc","Running"
"IpxlatCfgSvc","Stopped"
"jhi_service","Running"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"lfsvc","Running"
"LGHUBUpdaterService","Running"
"LicenseManager","Running"
"LightingService","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"LocalKdc","Stopped"
"logi_lamparray_service","Running"
"LSM","Running"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"McmSvc","Stopped"
"McpManagementService","Stopped"
"MDCoreSvc","Running"
"MessagingService_124ad5f4","Stopped"
"MicrosoftEdgeElevationService","Stopped"
"midisrv","Stopped"
"MozillaMaintenance","Stopped"
"mpssvc","Running"
"MSDTC","Running"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"MsKeyboardFilter","Stopped"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NcbService","Running"
"NcdAutoSetup","Stopped"
"Netlogon","Stopped"
"Netman","Stopped"
"netprofm","Running"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"NgcCtnrSvc","Running"
"NgcSvc","Running"
"NlaSvc","Stopped"
"nordsec-threatprotection-service","Running"
"NordUpdaterService","Running"
"nordvpn-service","Running"
"NPSMSvc_124ad5f4","Running"
"nsi","Running"
"nvagent","Running"
"NvContainerLocalSystem","Running"
"NVDisplay.ContainerLocalSystem","Running"
"OneDrive Updater Service","Stopped"
"OneSyncSvc_124ad5f4","Running"
"ose64","Stopped"
"P9RdrService_124ad5f4","Stopped"
"PcaSvc","Running"
"PeerDistSvc","Stopped"
"PenService_124ad5f4","Stopped"
"perceptionsimulation","Stopped"
"PerfHost","Stopped"
"PhoneSvc","Stopped"
"PimIndexMaintenanceSvc_124ad5f4","Running"
"pla","Stopped"
"PlugPlay","Running"
"PolicyAgent","Stopped"
"Power","Running"
"PrintDeviceConfigurationService","Stopped"
"PrintNotify","Running"
"PrintScanBrokerService","Stopped"
"PrintWorkflowUserSvc_124ad5f4","Stopped"
"ProfSvc","Running"
"PushToInstall","Stopped"
"QWAVE","Running"
"RasAuto","Stopped"
"RasMan","Running"
"Razer Elevation Service","Running"
"Razer Game Manager Service 3","Running"
"refsdedupsvc","Stopped"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RmSvc","Running"
"ROG Live Service","Running"
"RpcEptMapper","Running"
"RpcLocator","Stopped"
"RpcSs","Running"
"RstMwService","Running"
"RtkAudioUniversalService","Running"
"SamSs","Running"
"SCardSvr","Stopped"
"ScDeviceEnum","Stopped"
"Schedule","Running"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Running"
"SecurityHealthService","Running"
"SEMgrSvc","Stopped"
"SENS","Running"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Stopped"
"SensrSvc","Stopped"
"SessionEnv","Stopped"
"SharedAccess","Running"
"ShellHWDetection","Running"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTrap","Stopped"
"Spooler","Running"
"sppsvc","Stopped"
"SSDPSRV","Running"
"ssh-agent","Stopped"
"SstpSvc","Running"
"StateRepository","Running"
"Steam Client Service","Running"
"StiSvc","Running"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TapiSrv","Stopped"
"TermService","Stopped"
"TextInputManagementService","Running"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_124ad5f4","Running"
"UevAgentService","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_124ad5f4","Running"
"upnphost","Stopped"
"UserDataSvc_124ad5f4","Running"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Stopped"
"vmcompute","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"vmms","Running"
"VSS","Stopped"
"W32Time","Running"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Running"
"webthreatdefsvc","Running"
"webthreatdefusersvc_124ad5f4","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"whesvc","Running"
"WiaRpc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Running"
"wlidsvc","Stopped"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMIRegistrationService","Running"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
"WpnUserService_124ad5f4","Running"
"WSAIFabricSvc","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"wuqisvc","Stopped"
"WwanSvc","Stopped"
"XblAuthManager","Running"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
